,day_1,day_1,day_1,day_1
,ceilingMinusFloor,outMinusFloor,intWallMinusFloor,extWallMinusFloor
0,2.0312134937029924,0.3550576249591302,-2.3767126013659428,-1.8972700100573263
1,1.1520398090954558,0.23824109185312636,-1.6445697937517896,-0.5481928111651939
2,,,,
3,1.7256619252787004,0.2908344197812056,-2.220444822989928,-1.368377248392676
4,0.591607934480237,0.18841702955882056,-0.9950984805001184,0.17578725373033421
5,1.0275716697949093,0.7191919783065543,-0.5312765736095884,0.35994052909121876
6,1.2470768018198157,0.2669828070138607,-1.5744364756816747,-0.8229359377324386
7,2.921852011978501,1.7193848693423064,-1.5887973041044365,-0.3072795299786435
8,1.2792496505973219,0.2417050659613409,-1.854086530269015,-0.6299345685288529
9,0.6446602909193047,0.5606179877787554,-0.12780923908216835,0.3634036478635494
10,1.0653233016458472,0.2420305362614812,-1.3684089470396874,-0.6286214294914885
11,0.36807805692636464,0.38570599365874614,0.002857232312194924,0.36038741077487657
12,2.392037125628107,1.7124333619721597,-0.9972422881201197,0.4043041570411958
13,2.2194592750108058,0.42200560293441924,-2.57295850513205,-1.9405257159106952
14,,,,
15,2.372019410817799,1.4776532566775558,-1.1996915327702073,-0.06652863964265521
